ID,URL,TypeofMerch,Description
1,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+red+authentic+new+battery&_sacat=0,Cartridge,Pokemon Red
2,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+blue+authentic+new+battery&_sacat=05,Cartridge,Pokemon Blue
3,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+yellow+authentic+new+battery&_sacat=0,Cartridge,Pokemon Yellow
4,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+green+authentic+new+battery&_sacat=0,Cartridge,Pokemon Green
5,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+gold+authentic+new+battery&_sacat=0,Cartridge,Pokemon Gold 
6,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+silver+authentic+new+battery&_sacat=0,Cartridge,Pokemon Silver
7,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+crystal+authentic+new+battery&_sacat=0,Cartridge,Pokemon Crystal
8,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+ruby+authentic+new+battery&_sacat=0,Cartridge,Pokemon Ruby
9,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+sapphire+authentic+new+battery&_sacat=0,Cartridge,Pokemon Sapphire
10,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+emerald+authentic+new+battery&_sacat=0,Cartridge,Pokemon Emerald
11,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+diamond+authentic&_sacat=0,Cartridge,Pokemon Diamond
12,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+pearl+authentic&_sacat=0,Cartridge,Pokemon Pearl
13,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+platinum+authentic&_sacat=0,Cartridge,Pokemon Platinum
14,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+heartgold+authentic&_sacat=0,Cartridge,Pokemon HeartGold
15,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+soulsilver+authentic&_sacat=0,Cartridge,Pokemon SoulSilver
16,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+black+authentic&_sacat=0,Cartridge,Pokemon Black
17,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+white+authentic&_sacat=0,Cartridge,Pokemon White
18,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+black+2+authentic&_sacat=0,Cartridge,Pokemon Black 2
19,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+white+2+authentic&_sacat=0,Cartridge,Pokemon White 2
20,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+x&_sacat=0,Cartridge,Pokemon X
21,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+y&_sacat=0,Cartridge,Pokemon Y
22,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+omega+ruby&_sacat=0,Cartridge,Pokemon Omega Ruby
23,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+alpha+sapphire&_sacat=0,Cartridge,Pokemon Alpha Sapphire
24,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+sun&_sacat=0,Cartridge,Pokemon Sun
25,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+moon&_sacat=0,Cartridge,Pokemon Moon
26,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+ultra+sun&_sacat=0,Cartridge,Pokemon Ultra Sun
27,https://www.ebay.com/sch/i.html?_from=R40&_nkw=pokemon+ultra+moon&_sacat=0,Cartridge,Pokemon Ultra Moon
