ID,URL,TypeofMerch,Description
1,https://www.youtube.com/@Grandpas_cards-cq2sd/featured,Entertainment,Grandpas_cards youtube ch
2,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon-themed_console_editions,Console,Pokemon Themed Consoles listed in Bulbapedia
3,https://consolevariations.com/database/game-boy-light?search=pokemon,Console,Pokemon Gameboy Light 
4,https://consolevariations.com/database/game-boy-color?search=pokemon&filters[type][0]=1,Console,Pokemon GBC console database
5,https://consolevariations.com/database/game-boy-advance?search=pokemon,Console,Pokemon GBA console database
6,https://consolevariations.com/database/pokemon-mini?order=asc,Console,Pokemon Mini console
7,https://consolevariations.com/database/game-boy-advance-sp?search=pokemon&filters[type][0]=1,Console,Pokemon GBA SP console database
8,https://consolevariations.com/database/nintendo-ds?search=pokemon,Console,Pokemon related DS consoles and accessories
9,https://consolevariations.com/database/nintendo-ds-lite?search=Pokemon&filters[type][0]=1,Console,Pokemon DS Lite consoles database
10,https://consolevariations.com/database/nintendo-dsi?search=pokemon,Console,Pokemon Dsi consoles database
11,https://consolevariations.com/database/nintendo-dsi-xl?search=pokemon,Console,Pokemon Dsi XL console
12,https://consolevariations.com/database/nintendo-3ds-xl?search=pokemon,Console,Pokemon 3DS XL console database
13,https://consolevariations.com/database/new-nintendo-3ds?search=pokemon,Console,Pokemon New 3DS console database
14,https://consolevariations.com/database/new-nintendo-3ds-xl?search=pokemon,Console,Pokemon New 3DS XL console database
15,https://consolevariations.com/database/nintendo-2ds?search=pokemon,Console,Pokemon 2DS console database
16,https://consolevariations.com/database/new-nintendo-2ds-xl?search=pokemon,Console,Pokemon 2DS XL console database
17,https://consolevariations.com/database/nintendo-switch-lite?search=pokemon,Console,Pokemon Switch Lite console database
18,https://consolevariations.com/database/nintendo-switch?search=pokemon&filters[type][0]=1,Console,Pokemon Switch console database
19,https://consolevariations.com/database/nintendo-switch-oled-model?search=pokemon,Console,Pokemon Switch OLED console
20,https://consolevariations.com/browse/brand/nintendo/platforms,Console,Nintendo consoles category
21,https://www.psacard.com/psasetregistry/showcase/authentic-only/pokemon-graded-cards/imagegallery/10135,PSA Cards,Pokemon Authentic Graded Collector's Cards Gallery
22,https://www.elitefourum.com/t/psa-grading-scale-in-pokemon/38612,PSA Cards,Pokemon PSA Card Grading System
23,https://www.pokemoncenter.com/category/trading-card-game,TCG Cards,Pokemon Center Trading Card Game category
24,https://www.serebii.net/games/consoles.shtml,Console,Pokemon Themed Consoles listed in Serebii
